Instance,EST_LRPT,DescentSolver
ft06,5.4545455,0.0
ft10,35.16129,29.35484
ft20,35.62232,29.012875
la01,16.066067,4.3543544
la02,24.122137,20.76336
la03,25.628141,19.59799
la04,45.084747,36.271187
la05,0.0,0.0
la06,1.8358531,0.0
la07,20.0,8.089888
la08,15.295481,7.8794904
la09,7.360673,0.6309148
la10,3.3402922,2.6096034
la11,4.337152,3.7643209
la12,18.094322,2.5986526
la13,8.0,0.0
la14,0.3869969,0.0
la15,14.747308,7.2079535
la16,25.291006,19.682539
la17,24.362246,21.683674
la18,23.466982,15.919811
la19,29.691212,20.071259
la20,21.618626,6.54102
la21,26.29063,13.001912
la22,38.727077,13.160733
la23,16.860466,8.139535
la24,29.411764,15.080214
la25,34.80041,26.305016
la26,22.24959,13.464696
la27,32.14575,25.82996
la28,37.99342,19.407894
la29,34.114582,21.961805
la30,26.863468,13.136532
la31,24.047085,7.623318
la32,21.567568,6.1621623
la33,30.48284,17.6847
la34,40.557816,18.012783
la35,34.427967,12.976695
la36,21.529968,17.902208
la37,36.5068,22.190409
la38,36.03679,26.170568
la39,22.789944,17.680454
la40,51.63666,28.396072
