Instance,LRPT,EST_LRPT,DescentSolver,TabooSolver
ft06,34.545456,5.4545455,0.0,0.0
ft10,38.60215,35.16129,29.35484,23.333334
ft20,67.81116,35.62232,29.012875,29.012875
la01,26.876877,16.066067,4.3543544,4.3543544
la02,49.923664,24.122137,20.76336,20.76336
la03,33.50084,25.628141,19.59799,15.912898
la04,69.49152,45.084747,36.271187,27.966103
la05,12.3102865,0.0,0.0,0.0
la06,24.298056,1.8358531,0.0,0.0
la07,24.494383,20.0,8.089888,5.05618
la08,38.586327,15.295481,7.8794904,3.8238702
la09,29.652996,7.360673,0.6309148,0.0
la10,27.76618,3.3402922,2.6096034,2.400835
la11,21.358429,4.337152,3.7643209,3.0278232
la12,22.810394,18.094322,2.5986526,3.2723773
la13,19.217392,8.0,0.0,0.0
la14,5.417957,0.3869969,0.0,0.0
la15,25.186413,14.747308,7.2079535,7.2079535
la16,52.698414,25.291006,19.682539,13.333333
la17,44.77041,24.362246,21.683674,15.561225
la18,33.25472,23.466982,15.919811,10.495283
la19,36.10451,29.691212,20.071259,20.071259
la20,55.654102,21.618626,6.54102,5.9866962
la21,42.829826,26.29063,13.001912,13.479923
la22,54.045307,38.727077,13.160733,13.160733
la23,52.713177,16.860466,8.139535,8.139535
la24,88.87701,29.411764,15.080214,16.04278
la25,51.995907,34.80041,26.305016,23.23439
la26,47.12644,22.24959,13.464696,13.300492
la27,55.303642,32.14575,25.82996,21.295547
la28,69.24342,37.99342,19.407894,22.12171
la29,45.3125,34.114582,21.961805,20.052084
la30,43.468636,26.863468,13.136532,13.136532
la31,30.493273,24.047085,7.623318,9.417041
la32,40.594593,21.567568,6.1621623,6.1621623
la33,51.25073,30.48284,17.6847,17.6847
la34,38.349796,40.557816,18.012783,18.012783
la35,35.32839,34.427967,12.976695,17.108051
la36,56.230286,21.529968,17.902208,16.009464
la37,49.391552,36.5068,22.190409,22.190409
la38,55.518394,36.03679,26.170568,25.0
la39,44.201134,22.789944,17.680454,17.680454
la40,59.819965,51.63666,28.396072,28.641571
